date,spot,rate_us,rate_tw,forward_3m,forward_6m,forward_1y,fwd_point_3m,fwd_point_6m,fwd_point_1y
2021-01-01,28.078699111938477,0.09,1.125,28.00624924324204,27.934204625520298,27.791317617937423,-7.24498686964381,-14.449448641817852,-28.73814940010533
2021-01-04,28.054000854492188,0.09,1.125,27.981614713303276,27.909633466626932,27.76687214364522,-7.238614118891107,-14.436738786525538,-28.7128710846968
2021-01-05,28.10099983215332,0.09,1.125,28.02849242217817,27.956390585036957,27.81339009345093,-7.250740997514882,-14.46092471163638,-28.76097387023897
2021-01-06,27.954999923706055,0.09,1.125,27.88286922898237,27.81114199992216,27.66888447331262,-7.213069472368616,-14.38579237838944,-28.61154503934351
2021-01-07,27.829999923706055,0.09,1.125,27.758191759365666,27.68678525660333,27.54516383054377,-7.180816434038917,-14.321466710272546,-28.483609316228353
2021-01-08,27.92679977416992,0.09,1.125,27.854741842686543,27.78308696986282,27.640972948298312,-7.2057931483374915,-14.371280430709987,-28.58268258716059
2021-01-11,28.017000198364254,0.09,1.125,27.944709527861768,27.872823217853096,27.730250183973084,-7.2290670502486165,-14.417698051115835,-28.675001439117054
2021-01-12,28.02070045471191,0.09,1.125,27.94840023664864,27.87650443248381,27.733912568723014,-7.230021806326903,-14.419602222810113,-28.678788598889682
2021-01-13,27.97800064086914,0.09,1.125,27.905810598704473,27.834024354165354,27.69164978140511,-7.219004216466729,-14.397628670378637,-28.63508594640294
2021-01-14,28.01799964904785,0.09,1.125,27.94570639971967,27.873817525310056,27.731239405421004,-7.229324932818315,-14.418212373779582,-28.67602436268477
2021-01-15,27.986900329589844,0.09,1.125,27.914687324065063,27.842878244612216,27.700458383076857,-7.221300552478027,-14.402208497762814,-28.644194651298704
2021-01-18,27.9822998046875,0.09,1.125,27.9100986696352,27.838301394256916,27.69590494389292,-7.220113505229975,-14.399841043058359,-28.63948607945801
2021-01-19,27.982200622558594,0.09,1.125,27.909999743420293,27.838202722524546,27.695806776879003,-7.220087913830042,-14.399790003404789,-28.63938456795907
2021-01-20,27.915000915527344,0.09,1.125,27.842973427967173,27.77134882877746,27.629294849296727,-7.20274875601703,-14.365208674988494,-28.57060662306168
2021-01-21,27.88999938964844,0.09,1.125,27.818036412102067,27.746475962087043,27.60454921048121,-7.196297754637371,-14.352342756139791,-28.545017916723125
2021-01-22,27.958799362182617,0.09,1.125,27.886658863984145,27.814921886285248,27.67264502507647,-7.21404981984719,-14.387747589736932,-28.615433710614724
2021-01-25,27.95159912109375,0.09,1.125,27.879477201267424,27.80775869802187,27.665518477431625,-7.212191982632632,-14.384042307187883,-28.60806436621246
2021-01-26,27.920000076293945,0.09,1.125,27.84795968968387,27.776322263595553,27.634242844363516,-7.204038661007672,-14.367781269839242,-28.57572319304289
2021-01-27,27.917999267578125,0.08,1.125,27.845268051038094,27.772943659202145,27.62950177205655,-7.273121654003134,-14.505560837597997,-28.849749552157533
2021-01-28,27.933000564575195,0.08,1.125,27.860230267061997,27.787867012853724,27.644348049470313,-7.27702975131983,-14.513355172147158,-28.86525151048822
2021-01-29,27.932600021362305,0.08,1.125,27.85983076733345,27.78746855077275,27.64395164536899,-7.276925402885581,-14.513147058955411,-28.864837599331494
2021-02-01,28.000999450683594,0.08,1.125,27.928052004311603,27.855512592133117,27.711644252404586,-7.294744637199102,-14.548685855047694,-28.93551982790079
2021-02-02,27.950300216674805,0.08,1.125,27.877484850575893,27.80507677987468,27.661468931370226,-7.281536609891148,-14.52234368001264,-28.883128530457824
2021-02-03,27.857999801635746,0.07,1.125,27.78473039735846,27.711870828157934,27.56736751693141,-7.326940427728701,-14.612897347781129,-29.0632284704337
2021-02-04,27.86400032043457,0.07,1.125,27.790715134175773,27.717839871270826,27.573305434520517,-7.32851862587971,-14.616044916374449,-29.069488591405346
2021-02-05,27.90290069580078,0.07,1.125,27.829513197554423,27.756536194947735,27.611799976551634,-7.338749824635826,-14.63645008530463,-29.11007192491475
