Date,SPLB
2021-01-04,26.856651306152344
2021-01-05,26.701221466064453
2021-01-06,26.341279983520508
2021-01-07,26.31673240661621
2021-01-08,26.27583122253418
2021-01-11,26.169479370117188
2021-01-12,26.234922409057617
2021-01-13,26.594873428344727
2021-01-14,26.398548126220703
2021-01-15,26.423076629638672
2021-01-19,26.53759765625
2021-01-20,26.50489044189453
2021-01-21,26.365819931030273
2021-01-22,26.300373077392578
2021-01-25,26.52124786376953
2021-01-26,26.53759765625
2021-01-27,26.472166061401367
2021-01-28,26.431264877319336
2021-01-29,26.30855369567871
2021-02-01,26.36678123474121
2021-02-02,26.260168075561523
2021-02-03,26.11254119873047
2021-02-04,26.169950485229492
2021-02-05,26.038738250732422
2021-02-08,26.227365493774414
2021-02-09,26.169950485229492
2021-02-10,26.27657127380371
2021-02-11,26.153547286987305
2021-02-12,25.981325149536133
2021-02-16,25.743492126464844
2021-02-17,25.948518753051758
2021-02-18,25.85831069946289
2021-02-19,25.563068389892578
2021-02-22,25.243223190307617
2021-02-23,25.308834075927734
2021-02-24,25.325231552124023
2021-02-25,24.800355911254883
2021-02-26,25.423643112182617
2021-03-01,25.37431526184082
2021-03-02,25.283864974975586
2021-03-03,25.037189483642578
2021-03-04,24.716522216796875
2021-03-05,24.69186019897461
2021-03-08,24.395845413208008
2021-03-09,24.708297729492188
2021-03-10,24.88918685913086
2021-03-11,24.88096809387207
2021-03-12,24.37940216064453
2021-03-15,24.510963439941406
2021-03-16,24.461626052856445
2021-03-17,24.461626052856445
2021-03-18,24.247846603393555
2021-03-19,24.362953186035156
2021-03-22,24.535627365112305
2021-03-23,24.650739669799805
2021-03-24,24.76586151123047
2021-03-25,24.683631896972656
2021-03-26,24.683631896972656
2021-03-29,24.568523406982422
2021-03-30,24.73296356201172
2021-03-31,24.806962966918945
2021-04-01,25.086441040039062
2021-04-05,24.913311004638672
2021-04-06,25.160629272460938
2021-04-07,25.003999710083008
2021-04-08,25.18536376953125
2021-04-09,25.127655029296875
2021-04-12,25.111162185668945
2021-04-13,25.259553909301758
2021-04-14,25.21009635925293
2021-04-15,25.482154846191406
2021-04-16,25.226585388183594
2021-04-19,25.094682693481445
2021-04-20,25.18536376953125
2021-04-21,25.300785064697266
2021-04-22,25.34200096130371
2021-04-23,25.383224487304688
2021-04-26,25.366731643676758
2021-04-27,25.201852798461914
2021-04-28,25.18536376953125
2021-04-29,25.127655029296875
2021-04-30,25.201852798461914
2021-05-03,25.25310707092285
2021-05-04,25.31922721862793
2021-05-05,25.344026565551758
2021-05-06,25.42668914794922
2021-05-07,25.38536262512207
2021-05-10,25.17044448852539
2021-05-11,25.013381958007812
2021-05-12,24.80672836303711
2021-05-13,24.922460556030273
2021-05-14,25.129106521606445
2021-05-17,25.096046447753906
2021-05-18,24.955520629882812
2021-05-19,24.897655487060547
2021-05-20,25.137374877929688
2021-05-21,25.17870330810547
2021-05-24,25.28617286682129
2021-05-25,25.45149803161621
2021-05-26,25.45149803161621
2021-05-27,25.327491760253906
2021-05-28,25.344026565551758
2021-06-01,25.335742950439453
2021-06-02,25.41033172607422
2021-06-03,25.2860164642334
2021-06-04,25.551223754882812
2021-06-07,25.51807975769043
2021-06-08,25.650678634643555
2021-06-09,25.8330135345459
2021-06-10,25.998767852783203
2021-06-11,26.023624420166016
2021-06-14,25.88273811340332
2021-06-15,25.89102554321289
2021-06-16,25.874448776245117
2021-06-17,26.11479949951172
2021-06-18,26.413162231445312
2021-06-21,26.123085021972656
2021-06-22,26.16452980041504
2021-06-23,26.106504440307617
2021-06-24,26.205957412719727
2021-06-25,26.0733585357666
2021-06-28,26.247406005859375
2021-06-29,26.305416107177734
2021-06-30,26.33856964111328
2021-07-01,26.32194709777832
2021-07-02,26.421646118164062
2021-07-06,26.58782958984375
2021-07-07,26.72907066345215
2021-07-08,26.778926849365234
2021-07-09,26.55459213256836
2021-07-12,26.55459213256836
2021-07-13,26.380107879638672
2021-07-14,26.61275291442871
2021-07-15,26.72076416015625
2021-07-16,26.63768196105957
2021-07-19,26.986642837524414
2021-07-20,26.870315551757812
2021-07-21,26.72907066345215
2021-07-22,26.88694190979004
2021-07-23,26.837087631225586
2021-07-26,26.77061653137207
2021-07-27,26.96170997619629
2021-07-28,27.00326156616211
2021-07-29,26.88694190979004
2021-07-30,26.928489685058594
2021-08-02,27.026756286621094
2021-08-03,27.08505630493164
2021-08-04,27.11005210876465
2021-08-05,26.968456268310547
2021-08-06,26.601993560791016
2021-08-09,26.443750381469727
2021-08-10,26.352134704589844
2021-08-11,26.40210723876953
2021-08-12,26.452072143554688
2021-08-13,26.73525619506836
2021-08-16,26.751911163330078
2021-08-17,26.70194435119629
2021-08-18,26.685277938842773
2021-08-19,26.810213088989258
2021-08-20,26.868511199951172
2021-08-23,26.876848220825195
2021-08-24,26.760238647460938
2021-08-25,26.643640518188477
2021-08-26,26.660293579101562
2021-08-27,26.86018180847168
2021-08-30,26.91016387939453
2021-08-31,26.810213088989258
2021-09-01,26.825239181518555
2021-09-02,26.917078018188477
2021-09-03,26.750099182128906
2021-09-07,26.566423416137695
2021-09-08,26.700000762939453
2021-09-09,27.00891876220703
2021-09-10,26.875337600708008
2021-09-13,26.992218017578125
2021-09-14,27.134159088134766
2021-09-15,27.084056854248047
2021-09-16,27.04231071472168
2021-09-17,26.967174530029297
2021-09-20,27.10076332092285
2021-09-21,27.084056854248047
2021-09-22,27.242698669433594
2021-09-23,26.942134857177734
2021-09-24,26.816892623901367
2021-09-27,26.808536529541016
2021-09-28,26.341001510620117
